filename	score	musical_role	raw_role	role_source	centroid_exported_hz	centroid_computed_hz	spectral_tilt_db_per_oct	rolloff_or_high_extension_hz	smooth_score	hiMidMid_ratio	subBass_pct	bass_pct	lowMid_pct	mid_pct	highMid_pct	presence_pct	air_pct	fizz_label	notes
G12M_PR30_CapEdge_Br_3in.wav	94.0	Cut Layer		computed	3502	3502	-2.2	4893.0	89	5.64	0.0	1.5	1.7	9.1	51.3	34.2	2.20	Neutral	
G12M_MD421_Cone_Br_3.5in.wav	90.0	Foundation		computed	2954	2954	-3.9	4348.0	87	2.37	0.0	0.5	5.0	18.0	42.6	32.8	1.10	Neutral	
G12M_PR30_Cap_Cone_Tr_3in.wav	94.0	Cut Layer		computed	3200	3200	-3.6	4734.0	89	3.96	0.2	1.3	1.8	13.9	55.1	26.3	1.40	Neutral	
G12M_PR30_CapEdge_2.5in.wav	94.0	Cut Layer		computed	3364	3364	-2.2	4975.0	88	7.72	0.0	7.1	1.3	6.5	50.2	32.1	2.80	Neutral	
G12M_PR30_CapEdge_3in.wav	94.0	Cut Layer		computed	3329	3329	-2.6	4764.0	89	3.86	0.1	1.9	2.3	13.3	51.4	28.3	2.80	Neutral	
G12M_R10_Cap_7in.wav	92.0	Dark Specialty		computed	2239	2239	-5.4	3820.0	89	1.93	0.1	1.5	6.5	27.3	52.7	11.3	0.60	Low fizz (tamed)	
G12M_MD441_Presence_CapEdge_4.5in.wav	94.0	Cut Layer		computed	3208	3208	-3.6	5033.0	87	2.58	0.0	0.9	5.7	15.7	40.5	35.5	1.70	Neutral	
G12M_R121_Cap_5in.wav	90.0	Dark Specialty		computed	2137	2137	-4.5	3902.0	91	1.03	0.2	3.3	2.3	40.1	41.2	11.9	1.20	Neutral	
G12M_C414_Cap_4in.wav	86.0	Foundation		computed	2617	2617	-4.0	4570.0	89	1.77	0.3	2.0	8.6	23.9	42.3	20.2	2.60	Neutral	
G12M_R10_Cap_6in.wav	90.0	Dark Specialty		computed	2076	2076	-5.6	3715.0	88	1.47	0.1	0.7	5.3	35.1	51.5	6.7	0.70	Low fizz (tamed)	
G12M_Roswell_Cap_6in.wav	92.0	Dark Specialty		computed	1984	1984	-6.0	3721.0	88	1.57	0.1	2.3	9.2	30.5	47.8	9.5	0.60	Dark / rolled-off	
G12M_C414_Cap_5in.wav	88.0	Foundation		computed	2711	2711	-3.6	4729.0	90	2.60	0.0	1.4	10.2	18.3	47.5	19.4	3.20	Neutral	
G12M_R121_Cap_6in.wav	92.0	Dark Specialty		computed	2156	2156	-4.8	3932.0	88	1.08	0.1	1.7	2.9	39.1	42.3	13.0	0.90	Neutral	
